AKROUCHI;Souhaïb;AS12345;0415223648;053248125;Straat;2;/;8511;Aalbeke;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.souhaïb@telenet.be;1989;12;26;2015;6;1
ASSELBERG;Marc;AM12345;0415223648;053248125;Straat;3;/;9300;Aalst;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.marc@telenet.be;1991;6;26;2015;7;1
BAELE;Sander;BS12345;0415223648;053248125;Straat;4;/;3800;Aalst ;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.sander@telenet.be;1975;2;16;2014;2;4
BAETENS;Mathias;BM12345;0415223648;053248125;Straat;5;/;9880;Aalter;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.mathias@telenet.be;2008;5;24;2013;9;28
BAEYENS;Simon;BS12345;0415223648;053248125;Straat;6;/;3200;Aarschot;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.simon@telenet.be;1976;1;2;2007;1;21
BAUTERS;Steven;BS12345;0415223648;053248125;Straat;7;/;8700;Aarsele;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.steven@telenet.be;1986;10;12;2005;6;15
BEECKMANS;Maarten;BM12345;0415223648;053248125;Straat;8;/;8211;Aartrijke;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.maarten@telenet.be;1970;8;26;2010;8;11
BLANCQUAERT-CASSAER;Laurens;BL12345;0415223648;053248125;Straat;9;/;2630;Aartselaar;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.laurens@telenet.be;1987;7;22;2007;7;13
BOEL;Arno;BA12345;0415223648;053248125;Straat;10;/;4557;Abée;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.arno@telenet.be;1994;5;9;2007;1;25
BOLLON;Guylian;BG12345;0415223648;053248125;Straat;11;/;4280;Abolens;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.guylian@telenet.be;2007;8;28;2012;1;25
BONDROIT;Stef;BS12345;0415223648;053248125;Straat;12;/;3930;Achel;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.stef@telenet.be;2001;5;19;2014;9;8
BOONE;Robin;BR12345;0415223648;053248125;Straat;13;/;5590;Achêne;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.robin@telenet.be;1971;1;14;2011;10;5
BRACKE;Bob;BB12345;0415223648;053248125;Straat;14;/;5362;Achet;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.bob@telenet.be;1998;7;25;2014;10;12
BRYON;Thijs;BT12345;0415223648;053248125;Straat;15;/;4219;Acosse;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.thijs@telenet.be;1973;8;4;2015;12;15
CAMMERMAN;Nathan;CN12345;0415223648;053248125;Straat;16;/;6280;Acoz;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.nathan@telenet.be;2008;6;19;2013;6;21
CLAEYS;Joris;CJ12345;0415223648;053248125;Straat;17;/;9991;Adegem;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.joris@telenet.be;1980;8;22;2009;8;13
CLAEYSSENS;Rik;CR12345;0415223648;053248125;Straat;18;/;8660;Adinkerke;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.rik@telenet.be;1982;9;7;2006;1;18
CORNETTE;Femke;CF12345;0415223648;053248125;Straat;19;/;1790;Affligem;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.femke@telenet.be;1998;8;21;2011;12;3
COUCKE;Arthur;CA12345;0415223648;053248125;Straat;20;/;9051;Afsnee;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.arthur@telenet.be;2007;8;13;2010;1;16
COUDENYS;Robbe;CR12345;0415223648;053248125;Straat;21;/;5544;Agimont;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.robbe@telenet.be;1997;10;14;2016;9;9
CRUCKE;Jens;CJ12345;0415223648;053248125;Straat;22;/;4317;Aineffe;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.jens@telenet.be;2001;4;13;2010;2;17
DAYYEH;Helmi;DH12345;0415223648;053248125;Straat;23;/;5310;Aische-en-Refail;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.helmi@telenet.be;2006;3;5;2009;2;25
DE BACKER;Frederic;DF12345;0415223648;053248125;Straat;24;/;6250;Aiseau;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.frederic@telenet.be;1986;2;15;2009;4;18
DE BIE;Pieterjan;DP12345;0415223648;053248125;Straat;25;/;6250;Aiseau-Presles;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.pieterjan@telenet.be;1988;10;25;2015;2;21
DE BLANDER;Tijl;DT12345;0415223648;053248125;Straat;26;/;5070;Aisemont;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.tijl@telenet.be;1979;5;15;2010;12;1
DE BLEECKER;Bram;DB12345;0415223648;053248125;Straat;27;/;3570;Alken;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.bram@telenet.be;1993;8;21;2010;6;28
DE BRAEKELEER;Maxime;DM12345;0415223648;053248125;Straat;28;/;5550;Alle;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.maxime@telenet.be;1969;4;15;2006;8;11
DE BRUIJNE;Gautier;DG12345;0415223648;053248125;Straat;29;/;4432;Alleur;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.gautier@telenet.be;1996;6;18;2009;9;27
DE BRUYCKER;Johanna;DJ12345;0415223648;053248125;Straat;30;/;1652;Alsemberg;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.johanna@telenet.be;2010;12;4;2007;2;6
DE BRUYNE;Quinten;DQ12345;0415223648;053248125;Straat;31;/;8690;Alveringem;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.quinten@telenet.be;1980;12;3;2008;12;13
DE CLERCQ;Kimberly;DK12345;0415223648;053248125;Straat;32;/;4540;Amay;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.kimberly@telenet.be;2005;6;10;2008;8;16
DE COCK;Stefaan;DS12345;0415223648;053248125;Straat;33;/;6680;Amberloup;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.stefaan@telenet.be;1991;5;21;2007;3;20
DE CRAENE;Wannes;DW12345;0415223648;053248125;Straat;34;/;6953;Ambly;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.wannes@telenet.be;1976;4;3;2015;8;26
DE FREYNE;Ruben;DR12345;0415223648;053248125;Straat;35;/;4219;Ambresin;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.ruben@telenet.be;1983;2;11;2008;2;24
DE GRAEVE;Grietje;DG12345;0415223648;053248125;Straat;36;/;4770;Amel/Amblève;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.grietje@telenet.be;2008;3;10;2015;7;20
DE GROOTE;Jurgen;DJ12345;0415223648;053248125;Straat;37;/;6997;Amonines;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.jurgen@telenet.be;1996;3;9;2009;10;5
DE PAUW;Paulien;DP12345;0415223648;053248125;Straat;38;/;7750;Amougies;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.paulien@telenet.be;1973;6;12;2008;10;15
DE PUTTER;Rob;DR12345;0415223648;053248125;Straat;39;/;4540;Ampsin;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.rob@telenet.be;1984;3;5;2014;1;11
DE RIJCKE;Yordi;DY12345;0415223648;053248125;Straat;40;/;5300;Andenne;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.yordi@telenet.be;1975;9;1;2010;4;9
DE SCHRYVER;Werner;DW12345;0415223648;053248125;Straat;41;/;1070;Anderlecht;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.werner@telenet.be;1988;9;24;2013;9;17
DE SMET;Jasper;DJ12345;0415223648;053248125;Straat;42;/;6150;Anderlues;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.jasper@telenet.be;2002;2;21;2011;2;11
DE SMET;Jonah;DJ12345;0415223648;053248125;Straat;43;/;4821;Andrimont;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.jonah@telenet.be;1988;5;12;2008;5;5
DE TIER;Jordy;DJ12345;0415223648;053248125;Straat;44;/;4031;Angleur;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.jordy@telenet.be;2000;12;23;2013;11;12
DE TORCK;Boris;DB12345;0415223648;053248125;Straat;45;/;7387;Angre;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.boris@telenet.be;1999;9;12;2015;2;9
DE VRIESE;Olivier;DO12345;0415223648;053248125;Straat;46;/;7387;Angreau;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.olivier@telenet.be;1996;6;21;2005;5;12
DE VUYST;Luna;DL12345;0415223648;053248125;Straat;47;/;5537;Anhée;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.luna@telenet.be;1979;10;9;2015;3;22
DE VUYST;Sven;DS12345;0415223648;053248125;Straat;48;/;6721;Anlier;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.sven@telenet.be;1976;5;9;2015;9;21
DE WANDELEER;Sander;DS12345;0415223648;053248125;Straat;49;/;6890;Anloy;België;98.10.19-333.61;alister.adutwum.y1427@student.hogent.be;ouders.sander@telenet.be;2008;12;23;2009;8;13
